year,month,gov_gop,sen_gop,rep_gop,gov_dem,sen_dem,rep_dem,president,close,unemployment_rate
1987,December,24,46,179,27,55,262,gop,247.080002,5.7
1988,January,24,46,179,28,54,262,gop,257.070007,5.7
1988,February,24,46,179,28,54,262,gop,267.820007,5.7
1988,March,25,46,179,28,54,262,gop,258.890015,5.7
1988,April,24,46,179,28,54,262,gop,261.329987,5.4
1988,May,24,46,179,28,54,262,gop,262.160004,5.6
1988,June,24,46,179,28,54,262,gop,273.5,5.4
1988,July,24,46,178,28,54,262,gop,272.019989,5.4
1988,August,24,46,178,28,54,262,gop,261.519989,5.6
1988,September,24,46,178,28,54,262,gop,271.910004,5.4
1988,October,24,46,178,28,54,262,gop,278.970001,5.4
1988,November,24,46,179,28,54,262,gop,273.700012,5.3
1988,December,24,46,179,28,54,262,gop,277.720001,5.3
1989,January,23,46,178,29,55,264,gop,297.470001,5.4
1989,February,23,46,178,29,55,264,gop,288.859985,5.2
1989,March,23,46,178,29,55,264,gop,294.869995,5
1989,April,23,46,178,29,55,264,gop,309.640015,5.2
1989,May,23,46,178,29,55,264,gop,320.519989,5.2
1989,June,23,46,178,29,55,262,gop,317.980011,5.3
1989,July,23,46,178,29,55,261,gop,346.079987,5.2
1989,August,23,46,178,29,55,261,gop,351.450012,5.2
1989,September,23,46,178,29,55,261,gop,349.149994,5.3
1989,October,23,46,178,29,55,261,gop,340.359985,5.3
1989,November,23,46,178,29,55,261,gop,345.98999,5.4
1989,December,23,46,178,29,55,261,gop,353.399994,5.4
1990,January,22,46,176,30,55,258,gop,329.079987,5.4
1990,February,22,46,176,30,55,258,gop,331.890015,5.3
1990,March,22,46,176,30,55,258,gop,339.940002,5.2
1990,April,22,46,176,30,55,258,gop,330.799988,5.4
1990,May,22,46,176,30,55,257,gop,361.230011,5.4
1990,June,22,46,176,30,56,257,gop,358.019989,5.2
1990,July,22,46,176,30,56,257,gop,356.149994,5.5
1990,August,22,46,176,30,56,257,gop,322.559998,5.7
1990,September,22,46,176,30,56,257,gop,306.049988,5.9
1990,October,22,46,176,30,56,258,gop,304,5.9
1990,November,22,46,176,30,56,259,gop,322.220001,6.2
1990,December,22,46,176,30,56,259,gop,330.220001,6.3
1991,January,20,45,168,29,57,269,gop,343.929993,6.4
1991,February,20,45,168,29,57,269,gop,367.070007,6.6
1991,March,21,45,166,28,57,269,gop,375.220001,6.8
1991,April,21,45,166,28,57,269,gop,375.339996,6.7
1991,May,21,45,166,28,57,268,gop,389.829987,6.9
1991,June,21,45,166,28,57,268,gop,371.160004,6.9
1991,July,21,45,166,28,57,268,gop,387.809998,6.8
1991,August,21,45,166,29,57,268,gop,395.429993,6.9
1991,September,21,45,166,29,57,268,gop,387.859985,6.9
1991,October,21,45,166,29,57,268,gop,392.450012,7
1991,November,21,45,167,29,57,269,gop,375.220001,7
1991,December,21,45,167,29,57,269,gop,417.089996,7.3
1992,January,20,43,166,27,58,268,gop,408.779999,7.3
1992,February,20,43,166,27,58,268,gop,412.700012,7.4
1992,March,20,43,166,28,58,268,gop,403.690002,7.4
1992,April,20,43,166,28,58,268,gop,414.950012,7.4
1992,May,20,43,166,28,58,268,gop,415.350006,7.6
1992,June,20,43,166,28,58,268,gop,408.140015,7.8
1992,July,20,43,166,28,58,268,gop,424.209991,7.7
1992,August,20,43,166,28,58,268,gop,414.029999,7.6
1992,September,20,43,166,28,58,268,gop,417.799988,7.6
1992,October,20,43,166,28,59,268,gop,418.679993,7.3
1992,November,20,43,166,28,60,270,gop,431.350006,7.4
1992,December,20,43,166,28,60,270,gop,435.709991,7.4
1993,January,18,46,175,30,57,255,dem,438.779999,7.3
1993,February,18,46,175,30,57,255,dem,443.380005,7.1
1993,March,18,46,175,30,57,255,dem,451.670013,7
1993,April,18,46,175,30,57,256,dem,440.190002,7.1
1993,May,17,46,177,31,57,257,dem,450.190002,7.1
1993,June,17,46,178,31,57,258,dem,450.529999,7
1993,July,17,46,178,31,57,258,dem,448.130005,6.9
1993,August,17,46,178,31,57,258,dem,463.559998,6.8
1993,September,17,46,178,31,57,258,dem,458.929993,6.7
1993,October,17,46,178,31,57,258,dem,467.829987,6.8
1993,November,17,46,178,31,57,258,dem,461.790009,6.6
1993,December,17,46,178,31,57,258,dem,466.450012,6.5
1994,January,19,48,178,28,54,257,dem,481.609985,6.6
1994,February,19,48,178,28,54,257,dem,467.140015,6.6
1994,March,19,48,178,28,54,257,dem,445.769989,6.5
1994,April,19,48,178,28,54,256,dem,450.910004,6.4
1994,May,19,48,178,28,54,256,dem,456.5,6.1
1994,June,19,48,178,28,54,256,dem,444.269989,6.1
1994,July,19,48,178,28,54,256,dem,458.26001,6.1
1994,August,19,48,178,28,54,256,dem,475.48999,6
1994,September,19,48,178,28,54,256,dem,462.709991,5.9
1994,October,19,48,178,28,54,256,dem,472.350006,5.8
1994,November,19,48,178,28,54,256,dem,453.690002,5.6
1994,December,19,48,178,28,54,256,dem,459.269989,5.5
